"Object","Close_Approach_CA_Date","CA_Distance_Nominal_km","CA_Distance_Minimum_km","V_relative_km/s","V_infinity_km/s","H_mag","Diameter","Rarity"
"(2021 TN3)","2023-Nov-15 22:03 ± < 00:01","6526584","6526419","6.26","6.25","25.3","23 m -   52 m","0"
"(2019 VL5)","2023-Nov-16 01:20 ± < 00:01","3269996","3269943","8.22","8.21","25.8","18 m -   41 m","0"
"(2019 LB1)","2023-Nov-18 18:40 ±    06:19","6033062","6012450","4.16","4.15","27.0","11 m -   24 m","0"
"(2016 DK1)","2023-Nov-19 06:11 ± 9_17:29","2022611","1946051","6.75","6.72","27.5","8.4 m -   19 m","0"
"(2022 VR1)","2023-Nov-19 18:09 ± < 00:01","3106211","3104382","6.08","6.06","24.8","29 m -   65 m","0"
"(2019 UT6)","2023-Nov-24 07:46 ± < 00:01","3462459","3462400","13.20","13.20","22.0","110 m -  240 m","1"
"(2019 CZ2)","2023-Nov-25 19:49 ± 6_10:07","1072024","838812","5.83","5.77","24.6","32 m -   71 m","1"
"(2013 UB3)","2023-Nov-27 23:22 ± < 00:01","7090414","7090069","5.41","5.40","25.8","18 m -   41 m","0"
"(1998 WB2)","2023-Dec-03 12:28 ± < 00:01","4211400","4211228","14.21","14.20","21.9","0.150±0.007 km","1"
"(2013 VX4)","2023-Dec-04 16:38 ± < 00:01","1957558","1957518","6.58","6.55","23.9","44 m -   99 m","1"
"139622 (2001 QQ142)","2023-Dec-06 21:00 ± < 00:01","5526874","5526719","6.66","6.65","18.5","530 m -  1.2 km","2"
"(2020 HX3)","2023-Dec-10 09:29 ±    09:47","3763385","2320428","15.73","15.72","27.2","9.7 m -   22 m","0"
"(2010 XF3)","2023-Dec-11 17:15 ± 2_21:47","7428575","6768281","3.97","3.96","24.4","35 m -   78 m","0"
"(2016 XD2)","2023-Dec-19 20:37 ± 4_18:16","7153902","6686867","6.86","6.85","23.9","44 m -   99 m","0"
"341843 (2008 EV5)","2023-Dec-20 06:52 ± < 00:01","6321330","6319907","5.35","5.33","20.1","0.40±.050 km","1"
"(2018 YJ2)","2023-Dec-21 10:59 ± < 00:01","7027906","7027876","13.06","13.05","21.8","120 m -  260 m","1"
"(2022 YG)","2023-Dec-22 22:35 ±    00:31","4123918","3984829","5.13","5.11","26.6","13 m -   28 m","0"
"(2020 YO3)","2023-Dec-23 20:28 ± 5_03:44","1363898","198073","16.62","16.61","24.7","31 m -   70 m","1"
"(2010 UE51)","2023-Dec-24 13:37 ±    00:54","3428454","3410726","1.31","1.22","28.3","5.8 m -   13 m","0"
"(2020 YR2)","2023-Dec-25 12:16 ± 1_02:07","5283716","3855532","8.03","8.02","28.3","5.8 m -   13 m","0"
"(2021 AM6)","2023-Dec-31 17:26 ±    10:03","7004002","5777948","6.65","6.64","26.6","13 m -   28 m","0"
"(2019 KK5)","2024-Jan-03 01:09 ± 6_02:33","4067001","3702420","20.92","20.92","22.8","73 m -  160 m","1"
"(2002 AY1)","2024-Jan-08 18:11 ± < 00:01","5803049","5802380","17.34","17.34","20.9","170 m -  390 m","1"
"(2020 AC1)","2024-Jan-11 11:29 ± 2_10:06","7388567","6294257","5.32","5.31","28.4","5.6 m -   12 m","0"
"(2021 CZ2)","2024-Jan-16 23:30 ±    02:12","3069824","367021","14.34","14.33","22.5","84 m -  190 m","1"
"(2021 BL3)","2024-Jan-23 14:40 ± 4_00:19","6597085","2947064","23.39","23.39","24.7","30 m -   68 m","0"
"(2017 BG92)","2024-Jan-25 05:14 ± 2_07:39","4502103","2114135","6.29","6.27","28.7","4.8 m -   11 m","0"
"(2011 CQ1)","2024-Jan-26 05:13 ± 1_18:45","4328877","3784142","4.62","4.60","32.1","1.0 m -  2.3 m","0"
"(2007 EG)","2024-Jan-30 18:32 ± 5_13:32","6114367","4821972","8.59","8.58","24.6","32 m -   71 m","0"
"(2008 OS7)","2024-Feb-02 14:41 ± < 00:01","2854133","2853183","18.17","18.16","20.4","220 m -  490 m","2"
"(2019 CC5)","2024-Feb-04 12:01 ±    18:40","7023594","5837090","15.02","15.02","22.0","110 m -  240 m","1"
"(2020 DK)","2024-Feb-12 13:49 ± 3_12:28","3409279","1408387","9.87","9.86","26.1","16 m -   36 m","0"
"(2019 DA1)","2024-Mar-03 20:07 ± 8_07:14","5607455","121904","13.38","13.38","26.0","17 m -   38 m","0"
"(2015 FM34)","2024-Mar-12 02:35 ± < 00:01","7423872","7423824","11.07","11.06","22.5","84 m -  190 m","0"
"(2020 FU)","2024-Mar-15 21:29 ± 2_19:21","5698090","4664668","15.49","15.48","26.4","14 m -   31 m","0"
"(2020 FD)","2024-Mar-18 19:11 ±    16:34","1737599","13599","15.08","15.07","27.7","7.8 m -   17 m","0"
"(2019 CJ)","2024-Mar-24 16:45 ± 6_00:16","4760468","4449779","4.36","4.34","25.5","21 m -   47 m","0"
"(2021 CF6)","2024-Mar-25 05:48 ±    03:40","5561872","5516227","8.30","8.29","23.8","47 m -  100 m","0"
"(2015 MB54)","2024-Mar-30 01:59 ± < 00:01","4464973","4464948","3.83","3.81","24.1","41 m -   92 m","0"
"(2023 GC2)","2024-Apr-04 00:35 ±    02:10","3349385","2293460","5.68","5.66","27.3","9.1 m -   20 m","0"
"(2005 FG)","2024-Apr-08 13:02 ± < 00:01","7051950","7051817","5.54","5.53","23.9","44 m -   99 m","0"
"(2020 BP13)","2024-Apr-09 02:32 ± < 00:01","5813613","5813541","6.80","6.79","21.2","150 m -  340 m","1"
"(2021 GQ5)","2024-Apr-13 04:00 ±    05:25","3373694","2811093","7.46","7.44","28.5","5.3 m -   12 m","0"
"(2023 FN13)","2024-Apr-14 10:56 ± < 00:01","1272862","1268768","4.90","4.84","27.2","9.6 m -   21 m","0"
"(2022 UO1)","2024-Apr-14 17:02 ± 1_20:56","6403750","3912107","14.04","14.04","25.2","24 m -   54 m","0"
"517681 (2015 DE198)","2024-Apr-15 14:08 ± < 00:01","7029317","7029256","14.18","14.18","18.9","440 m -  980 m","1"
"439437 (2013 NK4)","2024-Apr-15 14:50 ± < 00:01","3256689","3256572","16.49","16.48","18.8","470 m -  1.0 km","2"
"(2023 HU3)","2024-Apr-18 21:02 ±    09:42","6103596","3893813","19.11","19.10","25.1","25 m -   57 m","0"
"(2021 JW2)","2024-Apr-19 08:53 ± 2_00:28","623093","403824","5.09","4.96","27.6","7.9 m -   18 m","0"
"(2017 SA20)","2024-Apr-19 09:48 ± 1_11:12","1464211","12955","6.19","6.15","28.3","5.8 m -   13 m","0"
"(2021 VH2)","2024-Apr-25 09:03 ±    00:01","3564813","3564506","2.69","2.65","28.8","4.6 m -   10 m","0"
"(2021 GD3)","2024-Apr-30 15:47 ± 7_03:04","4381821","2806697","3.53","3.51","27.0","11 m -   24 m","0"
"(2022 TN1)","2024-Apr-30 23:53 ±    01:51","7127150","7017181","17.74","17.73","20.4","220 m -  490 m","1"
"(2022 AA5)","2024-May-02 23:52 ± 2_20:14","4600493","1947533","8.91","8.91","23.6","50 m -  110 m","0"
"(2021 JG9)","2024-May-10 11:13 ± 4_09:16","6490931","110108","16.13","16.12","25.2","24 m -   54 m","0"
"(2015 KJ19)","2024-May-14 02:43 ± < 00:01","6042618","6042557","23.10","23.10","22.5","84 m -  190 m","1"
"(2014 WF6)","2024-May-14 09:43 ± < 00:01","2739941","2739318","18.92","18.91","24.4","35 m -   78 m","0"
"(2021 JN10)","2024-May-14 17:52 ± 1_07:38","6710467","4027456","13.21","13.20","25.2","25 m -   55 m","0"
"(2021 JJ)","2024-May-15 02:09 ± 1_00:55","6570119","6291815","5.80","5.79","25.5","21 m -   47 m","0"
"(2022 WN2)","2024-May-17 08:36 ±    00:16","5245950","5183557","5.47","5.46","28.9","4.3 m -  9.7 m","0"
"(2019 VB5)","2024-May-21 23:11 ±    04:18","2983863","2235446","6.34","6.32","31.7","1.2 m -  2.7 m","0"
"(2008 LD)","2024-May-28 08:19 ± 2_03:28","2941351","765682","4.46","4.43","28.9","4.4 m -  9.9 m","0"
"(2021 LV)","2024-May-29 01:23 ± 1_17:19","4608600","200868","15.55","15.54","27.9","6.9 m -   15 m","0"
"(1998 KY26)","2024-Jun-01 16:03 ±    00:01","4589631","4588966","5.26","5.24","25.6","0.03 km","0"
"(2008 YN2)","2024-Jun-05 17:47 ± 4_09:55","4018014","1996733","7.70","7.68","26.3","15 m -   33 m","0"
"(2021 LW3)","2024-Jun-06 21:15 ±    03:33","3711758","3007928","9.84","9.83","23.1","64 m -  140 m","1"
"(2022 XC1)","2024-Jun-12 07:44 ±    07:58","6319484","5586993","6.48","6.47","26.2","15 m -   34 m","0"
"(2019 NJ)","2024-Jun-27 18:24 ± 6_06:20","6605526","3695833","10.11","10.10","23.7","49 m -  110 m","0"
"415029 (2011 UL21)","2024-Jun-27 20:16 ± < 00:01","6641179","6641048","25.88","25.88","15.9","1.8 km -  4.0 km","3"
"(2022 MM1)","2024-Jun-28 00:16 ± < 00:01","2975311","2975179","10.92","10.90","24.7","31 m -   69 m","0"
"(2010 XN)","2024-Jun-28 03:13 ± < 00:01","5413593","5407992","11.32","11.32","24.2","38 m -   86 m","0"
"(2022 HD1)","2024-Jun-29 19:27 ±    18:32","6622589","6237080","7.23","7.22","23.8","47 m -  110 m","0"
"(2017 MB3)","2024-Jun-30 10:57 ±    08:54","1928578","1868650","6.46","6.43","25.4","22 m -   49 m","0"
"(2022 BY39)","2024-Jul-02 02:12 ±    01:25","5070331","5056418","2.97","2.95","29.9","2.7 m -  6.1 m","0"
