"Object","Close_Approach_CA_Date","CA_Distance_Nominal_km","CA_Distance_Minimum_km","V_relative_km/s","V_infinity_km/s","H_mag","Diameter","Rarity"
"(2010 XC15)","2022-Dec-27 18:15 ± < 00:01","772315","772315","10.10","10.05","21.5","130 m -  300 m","3"
"(2022 XL1)","2022-Dec-27 19:49 ± < 00:01","2925448","2919463","8.38","8.37","25.8","19 m -   41 m","0"
"(2022 YL)","2022-Dec-27 20:12 ± < 00:01","3022656","3008580","5.64","5.62","26.5","13 m -   29 m","0"
"(2023 AB)","2022-Dec-28 16:49 ± < 00:01","2600532","2591104","10.31","10.30","25.0","27 m -   59 m","0"
"(2021 AE)","2022-Dec-28 23:40 ± 5_23:24","6332124","5193","14.95","14.95","25.9","17 m -   39 m","0"
"(2022 YT6)","2022-Dec-29 18:46 ± < 00:01","2282264","2274718","13.78","13.77","26.1","16 m -   35 m","0"
"(2022 YG5)","2022-Dec-30 07:02 ± < 00:01","3122485","3086642","14.23","14.23","26.7","12 m -   27 m","0"
"(2023 AW)","2022-Dec-31 06:37 ±    00:06","1484770","1476757","8.36","8.32","25.7","19 m -   42 m","0"
"(2023 BJ2)","2022-Dec-31 15:05 ±    00:24","6353441","6282827","10.07","10.07","24.0","41 m -   92 m","0"
"(2023 AC2)","2022-Dec-31 23:25 ±    00:16","1640614","1635100","10.00","9.97","24.4","35 m -   78 m","1"
"(2022 YS6)","2023-Jan-01 01:15 ± < 00:01","1786449","1781007","9.72","9.70","26.9","11 m -   25 m","0"
"(2022 YR1)","2023-Jan-01 20:45 ± < 00:01","6245510","6188072","6.03","6.02","26.0","16 m -   37 m","0"
"(2022 YT3)","2023-Jan-02 00:43 ± < 00:01","4257510","4246138","6.44","6.42","25.8","18 m -   41 m","0"
"(2022 YU3)","2023-Jan-02 05:11 ± < 00:01","3768530","3742470","7.13","7.12","25.9","18 m -   40 m","0"
"(2022 YY6)","2023-Jan-02 11:07 ± < 00:01","813642","809485","20.27","20.25","26.1","16 m -   35 m","0"
"(2023 AL2)","2023-Jan-02 16:03 ±    01:01","1688067","1674655","13.14","13.12","25.9","17 m -   39 m","0"
"(2022 YP5)","2023-Jan-02 17:53 ± < 00:01","2988370","2979802","4.79","4.77","27.1","10.0 m -   22 m","0"
"(2021 NF)","2023-Jan-02 21:43 ± < 00:01","6837263","6837234","11.32","11.32","24.8","30 m -   67 m","0"
"(2022 YJ4)","2023-Jan-03 05:48 ± < 00:01","2028629","2022436","5.58","5.54","27.0","11 m -   24 m","0"
"(2012 BE27)","2023-Jan-03 09:05 ± < 00:01","2147031","2146797","10.32","10.30","23.3","58 m -  130 m","1"
"(2023 AU)","2023-Jan-03 10:25 ±    00:02","3653483","3620694","7.56","7.55","27.0","10 m -   23 m","0"
"(2011 WR41)","2023-Jan-03 17:20 ± 6_22:43","6064355","6063235","8.95","8.94","25.1","25 m -   56 m","0"
"(2019 AY3)","2023-Jan-04 03:13 ± < 00:01","5225076","5225046","19.46","19.46","23.8","46 m -  100 m","0"
"(2022 YS4)","2023-Jan-04 20:22 ± < 00:01","2300587","2297853","6.80","6.77","25.7","19 m -   42 m","0"
"(2023 AE)","2023-Jan-05 09:47 ±    00:04","1663889","1649548","13.64","13.62","26.1","16 m -   37 m","0"
"(2022 YL4)","2023-Jan-05 21:44 ± < 00:01","1982840","1981969","1.96","1.85","27.6","7.9 m -   18 m","0"
"(2022 YN1)","2023-Jan-06 01:42 ± < 00:01","7027004","7001371","5.51","5.50","24.3","37 m -   84 m","0"
"(2023 AV1)","2023-Jan-06 15:30 ±    00:15","1979724","1968182","7.39","7.36","26.8","12 m -   26 m","0"
"(2023 BZ)","2023-Jan-08 01:12 ±    00:02","3546916","3535838","8.92","8.91","26.7","12 m -   28 m","0"
"(2023 AD)","2023-Jan-08 07:28 ± < 00:01","5093271","5070741","9.80","9.79","26.2","15 m -   34 m","0"
"(2021 TL)","2023-Jan-09 05:43 ± < 00:01","5447211","5447179","8.45","8.44","23.5","53 m -  120 m","0"
"(2023 AO)","2023-Jan-10 04:22 ± < 00:01","6464534","6426074","12.26","12.26","25.4","22 m -   49 m","0"
"(2023 AL1)","2023-Jan-10 22:31 ± < 00:01","5268203","5238272","7.03","7.02","26.3","15 m -   33 m","0"
"(2023 AP)","2023-Jan-11 02:29 ± < 00:01","1871195","1868045","19.94","19.93","23.4","55 m -  120 m","1"
"(2023 AS)","2023-Jan-11 09:19 ± < 00:01","580070","579536","6.31","6.20","27.5","8.5 m -   19 m","0"
"(2023 AN)","2023-Jan-12 00:57 ± < 00:01","540858","539676","14.77","14.72","27.9","6.8 m -   15 m","0"
"(2022 YD5)","2023-Jan-12 03:12 ± < 00:01","3164277","3154287","10.62","10.61","24.4","35 m -   79 m","0"
"(2023 AC1)","2023-Jan-12 03:37 ±    00:01","243450","242365","13.99","13.87","29.0","4.2 m -  9.5 m","0"
"(2023 AR)","2023-Jan-12 09:56 ± < 00:01","1377802","1374860","30.09","30.08","25.0","26 m -   58 m","1"
"(2023 AV)","2023-Jan-12 20:09 ±    00:05","15551","15403","15.05","13.24","30.7","2.0 m -  4.4 m","1"
"(2022 YZ2)","2023-Jan-12 23:09 ± < 00:01","6365501","6364536","6.52","6.51","23.4","55 m -  120 m","0"
"(2023 BP)","2023-Jan-13 02:59 ±    00:04","1963975","1939977","9.77","9.75","26.7","12 m -   27 m","0"
"(2022 YS5)","2023-Jan-13 15:36 ± < 00:01","5961307","5954177","5.97","5.96","24.8","29 m -   65 m","0"
"(2014 LJ)","2023-Jan-14 03:33 ± 4_13:17","1819585","1508882","3.48","3.41","28.5","5.3 m -   12 m","0"
"(2023 BM)","2023-Jan-14 10:56 ±    00:01","4980402","4896725","16.85","16.84","25.2","24 m -   54 m","0"
"(2022 YH3)","2023-Jan-14 22:13 ± < 00:01","7277488","7265061","16.27","16.26","22.9","69 m -  150 m","0"
"(2023 AK)","2023-Jan-15 05:31 ± < 00:01","1516344","1513709","11.22","11.19","27.8","7.5 m -   17 m","0"
"(2023 BE4)","2023-Jan-15 05:53 ±    00:05","6779756","6631398","13.53","13.53","25.7","20 m -   44 m","0"
"(2023 BA2)","2023-Jan-15 09:16 ±    00:01","2314346","2302828","11.58","11.56","25.4","22 m -   49 m","0"
"(2023 AH)","2023-Jan-15 09:35 ± < 00:01","708137","706614","4.78","4.66","28.7","4.9 m -   11 m","0"
"(2023 AN6)","2023-Jan-15 12:51 ± < 00:01","97977","96824","14.05","13.76","30.6","2.0 m -  4.5 m","0"
"(2023 BT7)","2023-Jan-15 18:04 ±    00:07","2828970","2808664","13.85","13.84","23.6","51 m -  110 m","1"
"(2023 AX)","2023-Jan-16 04:50 ± < 00:01","1699644","1695977","3.95","3.89","28.1","6.5 m -   14 m","0"
"(2012 BV13)","2023-Jan-16 06:12 ± < 00:01","4655569","4655474","6.68","6.67","22.3","93 m -  210 m","1"
"(2023 AQ)","2023-Jan-17 01:41 ± < 00:01","4184942","4173578","25.00","24.99","22.8","74 m -  170 m","1"
"(2023 BB1)","2023-Jan-17 02:48 ±    00:04","3452618","3407718","16.07","16.07","23.3","57 m -  130 m","1"
"(2023 BQ1)","2023-Jan-19 04:42 ±    00:02","6860707","6349494","17.75","17.74","24.8","29 m -   65 m","0"
"(2023 BF)","2023-Jan-19 13:18 ±    00:03","4153986","4136837","7.00","6.98","26.0","17 m -   38 m","0"
"(2023 BL10)","2023-Jan-19 14:14 ±    00:07","6879249","6748108","3.98","3.97","26.8","12 m -   26 m","0"
"(2023 BN1)","2023-Jan-19 17:35 ±    00:15","1368644","1351021","23.75","23.74","25.9","17 m -   39 m","0"
"(2023 BR7)","2023-Jan-19 20:29 ±    00:05","2150702","2107985","8.23","8.20","27.7","7.6 m -   17 m","0"
"(2020 BP)","2023-Jan-19 20:40 ± < 00:01","3560780","3560753","17.25","17.24","25.6","20 m -   44 m","0"
"(2023 BJ5)","2023-Jan-20 03:02 ±    00:14","1428981","1421152","6.13","6.09","28.3","5.8 m -   13 m","0"
"(2023 AT)","2023-Jan-20 04:00 ± < 00:01","4408827","4397110","7.23","7.22","27.0","10 m -   23 m","0"
"(2023 BZ1)","2023-Jan-20 15:03 ± < 00:01","3977275","3969092","5.14","5.12","26.0","17 m -   37 m","0"
"(2023 CN)","2023-Jan-20 17:16 ±    00:13","4516162","4466405","10.82","10.82","23.9","44 m -   99 m","0"
"(2023 BY2)","2023-Jan-21 03:24 ± < 00:01","253287","253083","17.82","17.73","29.5","3.4 m -  7.5 m","0"
"(2023 AE1)","2023-Jan-22 02:50 ± < 00:01","1448020","1445937","5.54","5.49","27.1","9.9 m -   22 m","0"
"(2023 BN8)","2023-Jan-22 13:24 ±    00:19","2171223","2137936","8.39","8.37","25.9","17 m -   39 m","0"
"(2023 BH2)","2023-Jan-22 20:55 ± < 00:01","544874","544101","9.62","9.55","27.4","8.6 m -   19 m","0"
"(2023 BR8)","2023-Jan-23 01:42 ±    00:27","3054570","2976843","14.90","14.89","26.5","14 m -   30 m","0"
"(2023 BA1)","2023-Jan-23 08:02 ± < 00:01","438424","437410","12.56","12.48","27.1","10 m -   23 m","0"
"(2023 BN4)","2023-Jan-23 21:47 ± < 00:01","2774014","2770768","11.98","11.97","23.9","45 m -  100 m","1"
"(2023 CG)","2023-Jan-23 22:20 ±    00:03","5592642","5521560","19.09","19.09","24.7","30 m -   68 m","0"
"(2023 BK1)","2023-Jan-23 22:27 ± < 00:01","6489700","6473598","10.86","10.86","25.3","24 m -   53 m","0"
"(2019 BO2)","2023-Jan-24 00:59 ± 3_08:09","4634331","2410902","16.21","16.20","26.1","16 m -   36 m","0"
"(2023 BE6)","2023-Jan-24 01:10 ± < 00:01","2490841","2472496","6.98","6.95","27.8","7.4 m -   16 m","0"
"(2019 BZ4)","2023-Jan-24 04:10 ± < 00:01","6316310","6316287","5.60","5.59","26.3","15 m -   33 m","0"
"(2023 BQ5)","2023-Jan-24 04:47 ± < 00:01","1633211","1627143","7.67","7.64","27.1","10 m -   23 m","0"
"(2023 BF6)","2023-Jan-24 08:19 ±    00:02","6497632","6450702","11.08","11.07","26.7","12 m -   27 m","0"
"(2023 BH1)","2023-Jan-24 23:02 ± < 00:01","1377526","1368428","10.01","9.98","27.2","9.6 m -   21 m","0"
"(2023 BE2)","2023-Jan-25 04:01 ± < 00:01","729235","726311","9.66","9.60","28.2","6.1 m -   14 m","0"
"(2023 AQ1)","2023-Jan-25 04:11 ± < 00:01","3908826","3888787","15.71","15.70","24.1","41 m -   92 m","0"
"(2023 BQ7)","2023-Jan-25 07:50 ± < 00:01","2348045","2342103","4.06","4.02","27.3","9.3 m -   21 m","0"
"(2023 AP1)","2023-Jan-25 08:32 ± < 00:01","3905515","3892028","9.37","9.36","25.6","20 m -   44 m","0"
"(2023 BX5)","2023-Jan-25 15:27 ±    00:04","335316","334673","10.22","10.10","28.4","5.5 m -   12 m","0"
"(2023 BY)","2023-Jan-25 19:17 ±    00:01","3247133","3207231","11.65","11.64","26.4","14 m -   30 m","0"
"(2023 BW5)","2023-Jan-25 19:31 ± < 00:01","2610818","2603611","10.35","10.33","25.8","18 m -   41 m","0"
"(2023 BL1)","2023-Jan-25 19:38 ± < 00:01","224640","224408","14.66","14.54","26.2","15 m -   34 m","1"
"(2023 AM1)","2023-Jan-25 19:54 ± < 00:01","4414537","4401936","5.81","5.79","26.4","14 m -   31 m","0"
"(2023 BL2)","2023-Jan-26 04:32 ± < 00:01","370777","370303","10.54","10.44","29.1","4.0 m -  8.9 m","0"
"(2020 BZ14)","2023-Jan-26 06:35 ± < 00:01","3394061","3394043","6.73","6.71","24.1","41 m -   91 m","0"
"(2023 BH5)","2023-Jan-26 08:47 ± < 00:01","2744346","2707282","7.54","7.52","27.1","10 m -   23 m","0"
"(2023 BH7)","2023-Jan-26 09:39 ± < 00:01","2428675","2421510","7.58","7.55","25.9","18 m -   39 m","0"
"(2023 BU)","2023-Jan-27 00:29 ± < 00:01","9967","9967","9.27","2.43","29.7","3.1 m -  6.9 m","2"
"(2023 BZ3)","2023-Jan-27 00:41 ± < 00:01","281240","280485","6.76","6.54","29.1","4.1 m -  9.1 m","0"
"(2023 BT3)","2023-Jan-27 06:07 ± < 00:01","578143","577094","9.65","9.57","29.6","3.1 m -  7.0 m","0"
"(2023 BN5)","2023-Jan-27 08:30 ± < 00:01","1284261","1282358","6.52","6.48","27.3","9.2 m -   21 m","0"
"(2023 BG6)","2023-Jan-27 13:40 ±    00:04","4422054","4398402","4.22","4.20","27.6","8.2 m -   18 m","0"
"(2023 BC)","2023-Jan-28 07:15 ±    00:01","2825515","2791597","12.79","12.78","24.9","27 m -   61 m","0"
"(2023 BG7)","2023-Jan-28 08:52 ± < 00:01","407698","406498","18.15","18.09","27.7","7.6 m -   17 m","0"
"(2023 BE7)","2023-Jan-28 09:27 ± < 00:01","814809","813254","14.74","14.71","26.6","13 m -   28 m","0"
"(2023 BL4)","2023-Jan-29 04:00 ± < 00:01","4246917","4228635","7.77","7.76","26.1","16 m -   35 m","0"
"(2023 BM5)","2023-Jan-29 11:37 ± < 00:01","758275","755830","15.49","15.45","27.3","9.2 m -   21 m","0"
"(2022 SO113)","2023-Jan-29 13:11 ± < 00:01","4024118","4023988","3.47","3.44","23.6","52 m -  120 m","0"
"(2023 CF)","2023-Jan-29 16:17 ± < 00:01","4066770","4025683","35.56","35.56","25.0","27 m -   61 m","0"
"(2023 BK4)","2023-Jan-29 16:37 ± < 00:01","2788762","2783487","8.19","8.17","26.5","14 m -   30 m","0"
"(2023 BV5)","2023-Jan-30 01:42 ± < 00:01","2520845","2514291","3.15","3.10","27.9","7.1 m -   16 m","0"
"(2023 CK)","2023-Jan-30 07:54 ±    00:02","105221","104991","9.60","9.19","27.0","10 m -   23 m","2"
"(2023 BJ7)","2023-Jan-30 13:34 ± < 00:01","370808","370299","8.00","7.86","28.8","4.7 m -   10 m","0"
"(2023 CA)","2023-Jan-30 14:15 ± < 00:01","659183","658054","12.61","12.57","26.2","16 m -   35 m","1"
"(2023 BA3)","2023-Jan-30 17:32 ± < 00:01","1305009","1303735","8.77","8.73","26.5","14 m -   30 m","0"
"(2023 CE)","2023-Jan-30 19:25 ± < 00:01","4945786","4919438","16.60","16.59","25.7","19 m -   43 m","0"
"(2023 AS1)","2023-Jan-31 05:43 ± < 00:01","4500620","4488428","6.18","6.16","25.8","18 m -   41 m","0"
"(2023 BA4)","2023-Jan-31 09:31 ± < 00:01","6760780","6732090","7.86","7.85","24.8","29 m -   66 m","0"
"(2023 CL2)","2023-Jan-31 09:57 ±    00:03","3172540","3150737","4.99","4.97","24.9","28 m -   63 m","0"
"(2023 BQ2)","2023-Jan-31 23:21 ± < 00:01","2193811","2186367","13.92","13.91","26.6","13 m -   29 m","0"
"(2023 BP6)","2023-Feb-01 00:31 ± < 00:01","2597359","2588195","9.73","9.72","23.9","45 m -  100 m","1"
"(2023 CR1)","2023-Feb-01 04:10 ±    00:07","2287377","2260350","8.42","8.40","25.9","18 m -   40 m","0"
"(2023 CB)","2023-Feb-01 18:55 ± < 00:01","6091097","6044694","7.84","7.83","26.2","15 m -   34 m","0"
"(2017 DU34)","2023-Feb-02 04:54 ± 3_17:30","5084508","4949593","11.16","11.15","26.8","12 m -   26 m","0"
"(2023 BY4)","2023-Feb-02 06:14 ± < 00:01","4926841","4900927","10.75","10.75","24.8","30 m -   67 m","0"
"(2023 BP5)","2023-Feb-02 09:56 ± < 00:01","1678776","1674298","6.25","6.21","27.1","10 m -   22 m","0"
"(2023 BB8)","2023-Feb-02 11:25 ±    00:01","5987411","5920505","11.19","11.19","25.4","22 m -   50 m","0"
"(2023 BH6)","2023-Feb-02 11:59 ±    00:03","2233882","2219636","9.72","9.70","28.2","6.1 m -   14 m","0"
"(2023 BX7)","2023-Feb-02 17:23 ± < 00:01","1617770","1614807","13.53","13.51","25.3","24 m -   53 m","0"
"(2023 BR5)","2023-Feb-03 02:26 ± < 00:01","4176142","4137834","7.87","7.86","27.5","8.4 m -   19 m","0"
"367789 (2011 AG5)","2023-Feb-03 08:51 ± < 00:01","1816903","1816902","9.92","9.90","21.8","120 m -  260 m","2"
"(2010 LK34)","2023-Feb-03 15:25 ± < 00:01","3935054","3935028","26.89","26.88","21.9","0.108±0.002 km","1"
"(2023 BN6)","2023-Feb-04 08:24 ± < 00:01","770158","769979","7.52","7.45","25.2","24 m -   53 m","1"
"(2023 CZ2)","2023-Feb-04 15:17 ±    00:05","759067","755788","3.93","3.80","29.1","4.0 m -  9.0 m","0"
"(2020 OO1)","2023-Feb-04 20:34 ± < 00:01","1840919","1840907","7.74","7.71","26.3","15 m -   33 m","0"
"(2023 BO7)","2023-Feb-04 20:55 ±    00:31","5471432","5328601","5.15","5.13","27.2","9.8 m -   22 m","0"
"(2023 BZ7)","2023-Feb-04 21:09 ± < 00:01","4649781","4637217","9.32","9.31","26.1","16 m -   36 m","0"
"(2023 BC4)","2023-Feb-04 23:07 ± < 00:01","6208250","6178138","11.58","11.57","24.0","42 m -   93 m","0"
"(2023 BG4)","2023-Feb-05 02:43 ± < 00:01","6585704","6550306","10.37","10.36","25.3","23 m -   52 m","0"
"(2023 BT1)","2023-Feb-06 10:31 ± < 00:01","6455292","6435859","8.76","8.76","25.4","23 m -   51 m","0"
"(2023 CC)","2023-Feb-06 12:17 ± < 00:01","1499931","1494991","9.02","8.99","26.0","17 m -   37 m","0"
"(2022 YO6)","2023-Feb-06 14:00 ± < 00:01","4642480","4641202","13.42","13.41","21.8","120 m -  270 m","1"
"(2023 CO)","2023-Feb-06 14:11 ± < 00:01","2305332","2302660","6.57","6.55","25.1","26 m -   58 m","0"
"(2023 CT)","2023-Feb-07 10:50 ± < 00:01","1593268","1588870","13.19","13.17","26.6","12 m -   28 m","0"
"(2023 FP1)","2023-Feb-07 10:55 ±    01:32","3866507","3840381","2.56","2.52","26.6","13 m -   28 m","0"
"(2023 BU7)","2023-Feb-08 02:15 ±    00:11","494464","492393","1.66","1.06","30.7","1.9 m -  4.3 m","0"
"(2023 BS)","2023-Feb-08 05:45 ± < 00:01","7435139","7417867","10.89","10.88","24.9","27 m -   61 m","0"
"(2023 CN1)","2023-Feb-08 06:49 ± < 00:01","1961913","1955320","8.70","8.68","26.2","15 m -   34 m","0"
"(2023 BO8)","2023-Feb-08 10:37 ± < 00:01","1603682","1599262","6.63","6.60","26.7","12 m -   28 m","0"
"(2023 CU)","2023-Feb-08 16:23 ± < 00:01","847439","846907","4.70","4.60","27.2","9.5 m -   21 m","0"
"(2022 CX1)","2023-Feb-09 04:36 ±    04:16","6667610","5754632","13.19","13.19","27.1","10 m -   23 m","0"
"(2023 CR)","2023-Feb-09 06:38 ± < 00:01","833898","831818","8.08","8.02","28.1","6.3 m -   14 m","0"
"(2023 CF1)","2023-Feb-09 09:18 ± < 00:01","3345174","3330552","5.80","5.78","28.0","6.7 m -   15 m","0"
"(2023 CT3)","2023-Feb-09 09:37 ± < 00:01","4425315","4390291","12.99","12.98","25.3","23 m -   51 m","0"
"(2023 CC3)","2023-Feb-09 16:35 ±    00:01","4887160","4836705","6.15","6.14","26.9","11 m -   24 m","0"
"(2023 CA1)","2023-Feb-09 21:09 ± < 00:01","2190816","2187400","11.98","11.96","25.9","17 m -   39 m","0"
"(2023 CG4)","2023-Feb-09 21:18 ±    00:52","274611","269589","12.13","12.01","29.2","3.8 m -  8.5 m","0"
"(2023 CA2)","2023-Feb-09 22:51 ± < 00:01","5707872","5687596","12.57","12.57","24.1","40 m -   90 m","0"
"(2023 CZ3)","2023-Feb-10 04:19 ±    00:04","3052459","3018913","3.42","3.38","27.3","9.2 m -   21 m","0"
"(2023 CB1)","2023-Feb-10 04:37 ± < 00:01","2650936","2645740","7.11","7.09","26.9","11 m -   25 m","0"
"(2023 CQ)","2023-Feb-10 06:54 ± < 00:01","570406","569893","9.16","9.08","27.7","7.5 m -   17 m","0"
"(2023 CY2)","2023-Feb-10 10:34 ±    00:12","1090718","1078594","12.61","12.58","28.1","6.4 m -   14 m","0"
"(2023 BC8)","2023-Feb-11 00:09 ± < 00:01","5933140","5878486","14.05","14.04","24.2","39 m -   86 m","0"
"(2023 EE)","2023-Feb-11 08:26 ±    00:19","4982771","4926747","10.63","10.63","23.9","45 m -  100 m","0"
"(2023 CN3)","2023-Feb-11 10:21 ± < 00:01","2583352","2572251","11.72","11.71","26.4","14 m -   31 m","0"
"(2023 CY)","2023-Feb-11 20:22 ± < 00:01","3074541","3066753","11.04","11.03","26.3","14 m -   32 m","0"
"(2023 CM3)","2023-Feb-12 00:00 ±    00:02","843044","841031","5.54","5.46","28.4","5.5 m -   12 m","0"
"(2023 CR3)","2023-Feb-12 06:28 ± < 00:01","5553057","5536904","6.45","6.44","25.8","18 m -   41 m","0"
"(2023 CK2)","2023-Feb-12 10:03 ± < 00:01","5990278","5982666","20.55","20.55","22.7","77 m -  170 m","0"
"(2023 CL1)","2023-Feb-12 19:56 ± < 00:01","860772","859531","10.90","10.86","27.4","8.6 m -   19 m","0"
"(2023 CJ1)","2023-Feb-13 03:57 ± < 00:01","4805688","4790970","7.17","7.16","25.5","21 m -   47 m","0"
"(2023 CB3)","2023-Feb-13 10:35 ± < 00:01","4577138","4559129","6.95","6.93","26.7","12 m -   27 m","0"
"(2021 EP4)","2023-Feb-13 15:32 ± 2_03:28","7287086","6987920","6.14","6.13","29.3","3.7 m -  8.4 m","0"
"(2023 CU1)","2023-Feb-14 05:21 ± < 00:01","2190950","2178044","8.57","8.54","26.9","11 m -   25 m","0"
"(2023 DB)","2023-Feb-14 09:11 ± < 00:01","2599917","2594800","3.57","3.53","26.9","11 m -   25 m","0"
"(2023 CH2)","2023-Feb-14 09:51 ± < 00:01","417283","416899","10.05","9.96","26.4","14 m -   31 m","1"
"(2023 CP)","2023-Feb-14 17:34 ± < 00:01","6575888","6573794","3.42","3.41","25.2","25 m -   55 m","0"
"(2023 CZ1)","2023-Feb-14 19:34 ± < 00:01","6757880","6717033","8.58","8.57","26.9","11 m -   25 m","0"
"(2023 CP2)","2023-Feb-14 21:17 ± < 00:01","1123788","1123148","5.08","5.01","28.0","6.8 m -   15 m","0"
"(2023 DD)","2023-Feb-15 04:33 ±    00:01","825461","823945","10.46","10.42","26.5","13 m -   29 m","0"
"(2023 CN2)","2023-Feb-15 14:45 ± < 00:01","1760925","1752371","9.72","9.69","27.7","7.6 m -   17 m","0"
"(2023 CT1)","2023-Feb-15 14:52 ± < 00:01","836727","833836","16.89","16.87","26.6","13 m -   29 m","0"
"199145 (2005 YY128)","2023-Feb-16 00:46 ± < 00:01","4597665","4597656","24.65","24.64","18.3","580 m -  1.3 km","2"
"(2023 CF2)","2023-Feb-16 08:38 ± < 00:01","1485454","1480743","7.93","7.90","28.3","6.0 m -   13 m","0"
"(2023 CV1)","2023-Feb-16 10:40 ± < 00:01","4072834","4063912","7.25","7.24","25.0","27 m -   60 m","0"
"(2023 CJ2)","2023-Feb-16 11:15 ± < 00:01","2600812","2597704","8.23","8.21","25.5","22 m -   48 m","0"
"(2022 RG)","2023-Feb-16 18:56 ± < 00:01","3148982","3148752","3.04","3.00","25.6","20 m -   45 m","0"
"(2023 CG2)","2023-Feb-16 19:54 ± < 00:01","513264","511967","21.31","21.28","27.1","10 m -   23 m","0"
"(2023 EF)","2023-Feb-16 20:20 ±    00:02","5143303","5108869","5.12","5.10","26.2","15 m -   34 m","0"
"(2023 CA3)","2023-Feb-17 05:34 ± < 00:01","2260664","2240274","12.44","12.42","27.0","10 m -   23 m","0"
"(2023 CS3)","2023-Feb-17 07:54 ± < 00:01","3600024","3590708","4.68","4.66","26.9","11 m -   24 m","0"
"(2023 CY1)","2023-Feb-17 19:15 ± < 00:01","1760569","1759416","6.67","6.63","26.2","15 m -   34 m","0"
"(2023 CW2)","2023-Feb-17 21:57 ± < 00:01","622441","622357","2.25","1.95","29.7","3.0 m -  6.8 m","0"
"(2023 CC1)","2023-Feb-18 02:37 ± < 00:01","5755673","5742466","12.16","12.16","24.7","30 m -   68 m","0"
"(2023 DN)","2023-Feb-18 06:08 ± < 00:01","992982","992154","6.21","6.15","26.1","16 m -   35 m","0"
"(2023 CS2)","2023-Feb-18 08:01 ± < 00:01","1643992","1638765","7.63","7.60","28.1","6.5 m -   15 m","0"
"(2023 DH)","2023-Feb-18 08:35 ± < 00:01","2526755","2521161","4.95","4.92","27.5","8.5 m -   19 m","0"
"(2023 DQ1)","2023-Feb-18 08:46 ±    00:13","4058716","3999836","12.66","12.65","26.0","17 m -   37 m","0"
"(2023 CE2)","2023-Feb-18 09:44 ± < 00:01","5225048","5146980","16.12","16.12","25.5","21 m -   47 m","0"
"(2023 CH1)","2023-Feb-18 14:52 ± < 00:01","2891530","2879558","7.55","7.53","26.6","12 m -   28 m","0"
"(2023 CW)","2023-Feb-18 16:10 ± < 00:01","2549982","2532693","7.61","7.59","25.8","19 m -   42 m","0"
"(2020 DG4)","2023-Feb-18 19:25 ± < 00:01","623199","623190","7.07","6.98","28.1","6.2 m -   14 m","0"
"(2023 DO)","2023-Feb-18 23:14 ± < 00:01","5963405","5952649","6.26","6.25","25.6","20 m -   45 m","0"
"(2020 CX1)","2023-Feb-19 08:54 ± < 00:01","6644844","6644831","7.73","7.72","24.1","40 m -   89 m","0"
"(2023 DC)","2023-Feb-20 07:49 ± < 00:01","3301539","3291547","7.80","7.79","27.2","9.8 m -   22 m","0"
"(2023 CR2)","2023-Feb-20 18:54 ± < 00:01","7355295","7158544","17.30","17.30","26.1","16 m -   35 m","0"
"(2023 DF)","2023-Feb-21 01:53 ± < 00:01","1666041","1662805","9.76","9.73","27.1","10 m -   23 m","0"
"(2023 DP)","2023-Feb-21 10:29 ± < 00:01","2173443","2168139","14.97","14.96","25.3","23 m -   51 m","0"
"(2023 DE2)","2023-Feb-21 13:07 ± < 00:01","4886000","4867737","7.10","7.09","24.9","28 m -   63 m","0"
"37638 (1993 VB)","2023-Feb-21 18:56 ± < 00:01","6527664","6527664","11.07","11.07","19.3","370 m -  830 m","1"
"(2023 AA2)","2023-Feb-22 06:42 ± < 00:01","6656945","6655859","10.14","10.14","22.2","97 m -  220 m","1"
"(2023 FW)","2023-Feb-22 09:14 ±    00:35","2485637","2470079","3.71","3.67","27.0","10 m -   23 m","0"
"(2023 CM2)","2023-Feb-22 14:45 ± < 00:01","819998","818616","11.25","11.20","26.1","16 m -   36 m","0"
"(2023 DE)","2023-Feb-22 21:34 ± < 00:01","3307709","3289878","16.86","16.86","25.8","18 m -   41 m","0"
"(2023 CS1)","2023-Feb-23 04:55 ± < 00:01","5773103","5744157","9.14","9.13","25.3","23 m -   52 m","0"
"(2023 HM4)","2023-Feb-24 00:23 ±    00:03","4310012","4309213","0.83","0.71","27.5","8.4 m -   19 m","0"
"(2023 DS1)","2023-Feb-24 05:09 ±    00:07","1955192","1944391","10.15","10.13","25.8","18 m -   41 m","0"
"(2023 EB)","2023-Feb-24 08:27 ± < 00:01","1991551","1990929","7.83","7.81","26.2","15 m -   34 m","0"
"(2023 DG2)","2023-Feb-25 00:50 ± < 00:01","3991512","3976889","5.62","5.60","25.8","18 m -   41 m","0"
"(2023 DL1)","2023-Feb-25 04:25 ± < 00:01","1664544","1659533","8.42","8.39","27.0","11 m -   24 m","0"
"(2023 DR)","2023-Feb-25 05:47 ± < 00:01","75888","75845","13.96","13.58","29.9","2.8 m -  6.2 m","0"
"(2023 FY)","2023-Feb-25 08:43 ±    00:49","5590825","5554261","1.14","1.07","28.6","5.1 m -   11 m","0"
"(2023 DK)","2023-Feb-25 10:37 ±    00:01","2516298","2506776","4.04","4.00","28.0","6.7 m -   15 m","0"
"(2023 DH1)","2023-Feb-25 12:20 ± < 00:01","1082870","1081193","7.05","7.00","26.7","12 m -   27 m","0"
